Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
AFFX-r2-Hs18SrRNA-5_at,nil,nil,nil,22271,2530.6571,-1,0.0012,1.00E-04
202778_s_at,ZMYM2,ENSG00000121741,2306,2531.6836,-2.41597,0.0012,1.00E-04,
201887_at,IL13RA1,ENSG00000131724,1415,2531.85,-2.40211,0.0012,1.00E-04,
205552_s_at,OAS1,ENSG00000089127,5079,2532.2901,-2.56845,0.0012,1.00E-04,
202762_at,ROCK2,ENSG00000134318,2290,2532.6298,-2.24762,0.0012,1.00E-04,
213123_at,MFAP3,ENSG00000037749,12506,2536.4539,-2.5493,0.0012,1.00E-04,
210788_s_at,DHRS7,ENSG00000100612,10248,2538.3825,-2.44816,0.0012,1.00E-04,
221588_x_at,ALDH6A1,ENSG00000119711,20950,2538.951,-2.70288,0.0012,1.00E-04,
201021_s_at,DSTN,ENSG00000125868,549,2542.5118,-2.51943,0.0013,1.00E-04,
220329_s_at,RMND1,ENSG00000155906,19693,2543.1696,-2.64891,0.0013,1.00E-04,
204141_at,TUBB2A,ENSG00000137267,3668,2548.0055,-2.128,0.0013,1.00E-04,
202031_s_at,WIPI2,ENSG00000157954,1559,2549.3731,-2.35512,0.0013,1.00E-04,
219737_s_at,PCDH9,ENSG00000184226,19101,2550.5111,-2.70288,0.0013,1.00E-04,
212406_s_at,PCMTD2,ENSG00000203880,11791,2551.342,-2.42688,0.0013,1.00E-04,
210406_s_at,RAB6C,ENSG00000222014,9884,2552.6748,-2.40611,0.0013,1.00E-04,
203024_s_at,C5orf15,ENSG00000113583,2553,2553.5807,-2.42772,0.0013,1.00E-04,
204068_at,STK3,ENSG00000104375,3595,2558.8151,-2.50602,0.0013,1.00E-04,
213405_at,RAB22A,ENSG00000124209,12786,2559.2699,-2.46246,0.0013,1.00E-04,
213358_at,KIAA0802,ENSG00000168502,12739,2561.5825,-2.40377,0.0014,1.00E-04,
209211_at,KLF5,ENSG00000102554,8705,2562.2045,-2.18677,0.0014,1.00E-04,
212788_x_at,FTLP3,ENSG00000226608,12173,2562.9938,-2.29517,0.0014,1.00E-04,
203182_s_at,SRPK2,ENSG00000135250,2710,2568.5886,-2.37166,0.0014,1.00E-04,
201987_at,MED13,ENSG00000108510,1515,2570.7327,-2.45717,0.0014,1.00E-04,
202603_at,ADAM10,ENSG00000137845,2131,2571.8365,-2.63865,0.0014,1.00E-04,
201506_at,TGFBI,ENSG00000120708,1034,2573.5361,-2.29167,0.0014,1.00E-04,
